,f_MUNICIPIO_COD,f_MUNICIPIO,ANO,MES,ANOMES,REGIAO,HOMOCIDIO_DOLOSO,LESAO_CORPORAL_MORTE,LATROCINIO,CVLI,HOMOCIDIO_POR_INTERVENCAO_POLICIAL,LETALIDADE_VIOLENTA,TENTATIVA_HOMICIDIO,ESTUPRO,HOMICIDIO_CULPOSP,LESAO_CORPORAL_DOLOSA,LESAO_CORPORAL_CULPOSA,ROUBO_TRANSEUNTE,ROUBO_CELULAR,ROUBO_EM_COLETIVO,ROUBO_EM_RUA,ROUBO_VEICULO,ROUBO_DE_CARGA,ROUBO_COMERCIO,ROUBO_RESIDENCIAL,ROUBO_BANCO,ROUBO_CAIXA_ELETRONICO,ROUBO_CONSUCAO_SAQUE,ROUBO_APOS_SAQUE,ROUBO_BICICLETA,OUTROS_ROUBOS,TOTAL_ROUBOS,FURTO_VEICULOS,FURTO_TRANSEUNTE,FURTO_EM_COLETIVO,FURTO_CELULAR,FURTO_BICILETA,OUTROS_FURTOS,TOTAL_FURTOS,SEQUESTRO,EXTORSAO,SEQUESTRO_RELAMPAGO,ESTELIONATO,APREENSAO_DROGAS,POSSE_DROGAS,TRAFICO_DROGAS,APREENSAO_DROGAS_SEM_AUTOR,RECUPERACAO_VEICULOS,APF,AAAPAI,CMP,CMBA,AMEACA,PESSOAS_DESAPARECIDAS,ENCONTRO_CADAVER,ENCONTRO_OSSADA,POLICIAL_MILITAR_MORTO_SERVICO,POLICIAL_CIVIL_MORTO_SERVICO,REGISTRO_OCORRENCIAS,FASE
17,3301108,CANTAGALO,2014,1,201401,INTERIOR,1,0,0,1,0,1,0,17,2,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,1,0,11,13,0,0,0,0,1,0,1,0,0,0,0,0,0,8,0,0,0,0,0,68,3
18,3301157,CARDOSO MOREIRA,2014,1,201401,INTERIOR,1,0,0,1,0,1,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,6,0,0,0,0,5,5,0,0,0,4,0,0,0,13,0,0,0,0,0,56,3
19,3301207,CARMO,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,19,1,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,1,0,1,0,9,11,0,0,0,1,1,0,1,0,1,1,0,1,7,17,1,0,0,0,0,101,3
20,3301306,CASIMIRO DE ABREU,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,21,0,4,25,2,0,0,2,6,0,0,1,0,0,0,0,0,1,10,3,1,1,3,0,23,31,0,0,0,4,1,1,0,0,3,2,2,3,1,31,1,0,0,0,0,129,3
21,3301405,CONCEIÇÃO DE MACABU,2014,1,201401,INTERIOR,1,0,0,1,0,1,0,9,1,0,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,3,0,0,0,0,2,2,0,0,1,0,0,5,0,13,0,0,0,0,0,54,3
22,3301504,CORDEIRO,2014,1,201401,INTERIOR,1,0,0,1,0,1,0,13,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,2,0,2,0,17,21,0,0,0,1,2,0,1,1,0,6,0,2,0,9,1,0,0,0,0,68,3
23,3301603,DUAS BARRAS,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,15,1,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,1,1,1,0,0,0,1,0,0,0,13,0,0,0,0,0,44,3
24,3301702,DUQUE DE CAXIAS,2014,1,201401,BAIXADA FLUMINENSE,37,0,0,37,3,40,31,511,25,8,186,683,18,37,738,340,57,49,3,0,0,1,4,0,117,1309,74,118,43,37,0,370,642,0,10,2,209,65,5,57,3,202,187,88,56,0,447,43,3,0,0,0,4247,3
25,3301801,ENGENHEIRO PAULO DE FRONTIN,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,6,0,0,0,0,3,1,2,0,0,2,2,1,0,12,0,0,0,0,0,37,3
26,3301850,GUAPIMIRIM,2014,1,201401,BAIXADA FLUMINENSE,1,0,0,1,0,1,3,49,2,1,6,1,0,0,1,10,0,0,0,0,0,0,0,0,1,12,1,0,1,0,0,9,11,0,0,0,6,2,1,1,0,0,11,2,2,0,35,4,0,0,0,0,137,3
27,3301876,IGUABA GRANDE,2014,1,201401,INTERIOR,0,0,0,0,0,0,1,23,1,0,21,3,0,0,3,3,1,1,1,0,0,0,0,0,1,10,4,2,1,1,0,25,33,0,0,0,1,1,1,0,0,2,1,0,1,0,19,0,0,0,0,0,126,3
28,3301900,ITABORAÍ,2014,1,201401,INTERIOR,5,0,0,5,0,5,10,118,9,2,58,67,7,10,84,51,2,10,2,0,0,0,0,0,13,162,31,9,6,12,0,106,164,0,3,1,28,30,3,25,2,49,58,26,14,0,169,11,0,0,0,0,908,3
29,3302007,ITAGUAÍ,2014,1,201401,BAIXADA FLUMINENSE,9,0,0,9,0,9,3,70,5,2,27,26,1,3,30,29,0,3,3,0,0,0,0,0,10,75,16,11,3,8,0,77,115,0,0,0,19,7,0,7,0,13,23,3,6,0,57,8,0,1,0,0,461,3
30,3302056,ITALVA,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
31,3302106,ITAOCARA,2014,1,201401,INTERIOR,0,0,0,0,0,0,1,22,1,1,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,12,13,0,2,0,1,0,0,0,0,0,2,0,0,0,17,0,0,0,0,0,82,3
32,3302205,ITAPERUNA,2014,1,201401,INTERIOR,1,0,0,1,0,1,1,53,2,0,26,3,0,0,3,2,0,7,0,0,0,0,0,0,2,14,5,2,1,1,0,39,48,0,2,0,12,66,53,11,4,0,29,5,6,0,33,1,0,0,0,0,328,3
